Name,Column,Description,Labels,Assignees,Due Date,Milestone
Week 1 Goals,Weekly Breakdown,"My goals are to:
- [x] Finish Layout Design drawing
- [x] Organize scene
- [x] Set up scene composition
- [x] Finish Space Station model
- [x] Add pictures and breakdown of Week 1",Space Environment,,,Modeling & UVs
Week 1 Accomplishments,Weekly Breakdown,"Images in \Projects\zOutside Repos\zOutside repo (copy me)\Space Environment\Week1

This week I was able to Finish the layout design for the space scene. I was able to organize my scene and files associated with my project. I greyboxed the scene.  I wasn't able to finish modeling the ship this week. I have gotten a fair way through it. All I need to do is make the little ranger and pipe the insides. 

![SpaceEnvironmentRender.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/613af6c479d3ee004b5ec835)

![SpaceEnvironment.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/613af71aca515f00475d9693)

![SpaceShip.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/613af75d79d3ee004b5ec839)

![Ship3.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/613ee22779d3ee004b5f7d81)

![Ship2.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/613ee23d79d3ee004b5f7d88)
![Ship1.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/613ee23dca515f00475e4bb0)

![SceneGreybox.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/613ee432ca515f00475e4be3)
",Space Environment,,,Modeling & UVs
Week 2 Goals,Weekly Breakdown,"My goals are to:
- [x] Finish modeling Ship
- [x] UV map Ship",Space Environment,,,Modeling & UVs
Week 2 Accomplishments,Weekly Breakdown,"I was unable to meet this weeks goals. I am close to completing the modeling and I should be able to finish UVs this week. I hope to start texturing this week. Here's an update on the ship.
![Ship1.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/614821e62466930048509c38)

![Ship2.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/614821ea2466930048509c39)

![Ship3.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/614821ee2466930048509c3a)
",Space Environment,,,Modeling & UVs
Week 3 Goals,Weekly Breakdown,"- [x] Finish modeling
- [x] finish UVs
- [x] Begin Texturing",Space Environment,,,Modeling & UVs
Week 3 Accomplishments,Weekly Breakdown,"I finished modeling the ship and I am close to finishing the UVs. Hopefully once this ship is done I can get back on track for my deadlines. 
- [x] Finish modeling
- [x] finish UVs
- [x] Begin Texturing
![Screenshot 2021-09-27 220318.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/615294bb1a8506004d24fc9d)
![Screenshot 2021-09-27 220420.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/615294bb2cd6b7004c4e8581)
![Screenshot 2021-09-27 220514.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/615294bb1a8506004d24fc9e)
",Space Environment,,,Modeling & UVs
Week 4 Goals,Weekly Breakdown,- [x] Finish UVs,Space Environment,,,Modeling & UVs
Week 4 Accomplishments,Weekly Breakdown,"I am back on track and have fixed my schedule to accomplish my goals.
The colors represent what shares a texture. Green is the the main ship, Blue is the attachments, and the pipes are red because they are procedurally generated on their own UV plane. I plan to use 3 2048px maps.
- [x] Finish UVs
![Ship1.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/615b8ff31a8506004d26fd27)
![Ship2.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/615b8ff32cd6b7004c5085af)
![UV1.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/615b8ff22cd6b7004c5085ae)
![UV2.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/615b8ff31a8506004d26fd26)
",Space Environment,,,Modeling & UVs
Week 5 Goals,Weekly Breakdown,"- 
![21_ 7_maybe_ red.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/616eebbb631c490046b960b2)
![29_ 10_maybeBlue_ red.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/616eebbb631c490046b960b3)
![1_ 1_blue.png](https://app.gitkraken.com/api/glo/boards/61246c9e62c83900480bfe57/attachments/616eebbbb2f0670047fbec55)
",Space Environment,,,"Textures, VFX, Animation"
Week 6 Goals,Weekly Breakdown,- [x] Animation,Space Environment,,,"Textures, VFX, Animation"
