Name,Column,Description,Labels,Assignees,Due Date,Milestone
lock down greybox for 2/4,Finished,,2610 Game Design,,,
orient joints,Finished,,2211 Rigging,,,
do exercise 6.10,Finished,,CS1410 OO,,,
Ask how to use sandbox,Finished,,CS1410 OO,,,
Do chapter 6 quiz,Finished,,CS1410 OO,,,
read chapter 6,Finished,,CS1410 OO,,,
do final pass on greybox,Finished,"move camera down and move asteroids up.
change text on layout for asteroid
add more details on models",2610 Game Design,,,
do quiz 5,Finished,,CS1410 OO,,,
rename rig joints,Finished,,2211 Rigging,,,
begin book recommendation project,Finished,"need: 
-recommend function
-sort books by author last name, author first name, book title",CS1410 OO,,,
Do thumbnails for script,Finished,Side quest: concept characters,2660 Storyboard,,,
build joint chain for max,Finished,Working on fingers,2211 Rigging,,,
greybox ctr,Finished,,2610 Game Design,,,
Rig max in simple FK,Finished,,2211 Rigging,,,
Complete final layout,Finished,add color circle around numbers. color the layout. add illustrations next to the objects to show what they will look like.,2610 Game Design,,,
Review script when rodayne sends it,Finished,,2660 Storyboard,,,
Discuss hands,Finished,,2640 Character Development,,,
submit hands,Finished,,2640 Character Development,,,
Begin drawing hands,Finished,,2640 Character Development,,,
Model hands,Finished,,2640 Character Development,,,
Sculpt hands,Finished,,2640 Character Development,,,
Do quiz 4,Finished,,CS1410 OO,,,
Do exercise 5.1,Finished,,CS1410 OO,,,
animate IK walk due Thurs,Finished,,2211 Rigging,,,
create storyboard and script,Finished,"choose 1 min, write the times for each camera cut, write description of cuts, write out script in center alignment, thumbnail sketch each shot. compile in a pdf.",2660 Storyboard,,,
draft layout of hyper spaceway,Finished,,2610 Game Design,,,
Do reading 4 & 5,Finished,,CS1410 OO,,,
Turn in hands week 1,Finished,,2640 Character Development,,,
Do exercise 4.9,Finished,,CS1410 OO,,,
Ask for help on 4.9,Finished,,CS1410 OO,,,
character walk due Tuesday,Finished,,2211 Rigging,,,
choose last activity thing,Finished,,2640 Character Development,,,
Set up Gits for classes,Finished,,,,,
turn in research,Finished,,2610 Game Design,,,
Set up meeting to check off scene,Finished,Doing hyper spaceway,2610 Game Design,,,
Get books,Finished,,,,,
Read through first module,Finished,Finished page 1,2660 Storyboard,,,
create research for scene,Finished,,2610 Game Design,,,
Figure out which scene to create,Finished,,2610 Game Design,,,
See if rodayne requires a book,Finished,,2660 Storyboard,,,
Set up text book,Finished,,CS1410 OO,,,
Look through first module,Finished,,2640 Character Development,,,
Relax and be ready for thursday,Finished,,2211 Rigging,,,
Turn in FInal,Finished,,2610 Game Design,,,
final,Finished,,CS1410 OO,,,
Sprint 11,Finished,"make light cone god rays (Done)
fix lighting (Done)
make arrows yellower (First pass)
fix transparency (Done)",2610 Game Design,,,
Character design,Finished,,2640 Character Development,,,
Turn in skinning,Finished,,2211 Rigging,,,
turn in animatic,Finished,,2660 Storyboard,,,
quiz 11,Finished,,CS1410 OO,,,
look at review,Finished,,2640 Character Development,,,
Add rocks and debris to scene,Finished,Could add asteroids,2640 Character Development,,,
Create animatic for both parts,Finished,"finish drawings (Done)
add horizon line and tops to cylinders throughout (Done)
fix background to be size of images (Done)
Add color behind each drawing. (Done)
Add cape to kuu (Done)
add box for transparency to be the right size (Export with borders on) (Done)
export images (Done)
time scenes
import audio
clean up lines


make window at frame 96 fade out to reveal green smoke and inside. (Done)
",2660 Storyboard,,,
skin max,Finished,,2211 Rigging,,2021-04-27T06:00:00.000Z,
Sprint 10,Finished,"make light cone god rays (first pass)
fix lighting

fix lights for cones (first pass)
arrows are too wide (First pass)
fix seams on planet (first pass)
make rocks not so real and smoother (Done)
fix sparks (Done)
make rocks bluer (Done)
make white on rocks more transparent (Done)
Add another nebula in the center (Done)
Add more stars (Done)
make planet spin (Done)",2610 Game Design,,,
project 7,Finished,Working on b. Trying to figure out why download_size is being emptied each process.,CS1410 OO,,,
Add horizon line in bg,Finished,,2660 Storyboard,,,
add height map to rocks that is rnd dirt,Finished,,2610 Game Design,,,
Sprint 9,Finished,"Animations Work on Rocks
arrows (Done)
lightning from drills (done)
sparks from track wall (first pass)",2610 Game Design,,,
find out time,Finished,,2610 Game Design,,,
exercise 11.5,Finished,,CS1410 OO,,,
